WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
sake	7.0	Y	6.461538461538462	benefit	Y	0.9230769230769231
bode	4.6		4.293333333333333	threaten		0.9333333333333333
grind	2.4		2.2857142857142856	crush	Y	0.9523809523809523
charge	2.66666666667	Y	2.5098039215717645	attack	Y	0.9411764705882353
ferocity	2.33333333333		2.1777777777746667	savageness		0.9333333333333333
military_unit	6.8		6.346666666666667	guard	Y	0.9333333333333333
disaster	3.4	Y	3.2380952380952377	destruction		0.9523809523809523
accept	2.6	Y	2.3636363636363638	digest		0.9090909090909091
good	7.0	Y	6.461538461538462	kindness	Y	0.9230769230769231
conserve	2.4		2.2857142857142856	jam		0.9523809523809523
military	1.6666666666699999	Y	1.5384615384646154	force		0.9230769230769231
refuge	6.6		6.211764705882352	safehold	Y	0.9411764705882353
Department_of_the_Interior	5.0		4.615384615384616	Department_of_Defense		0.9230769230769231
applaud	1.0	Y	0.9090909090909091	bravo		0.9090909090909091
spat	4.0		3.7333333333333334	quarrel		0.9333333333333333
bicker	1.8333333333333304		1.736842105263155	quarrel	Y	0.9473684210526315
services	2.83333333333	Y	2.6666666666635295	employment		0.9411764705882353
hush	2.6		2.4000000000000004	suppress		0.9230769230769231
silence	2.6	Y	2.4000000000000004	suppress		0.9230769230769231
estimate	8.57142857143	Y	7.9120879120892305	respect		0.9230769230769231
abrasion	2.2857142857099997		2.176870748295238	wound		0.9523809523809523
booking	4.0		3.7333333333333334	employment		0.9333333333333333
engagement	2.83333333333	Y	2.6666666666635295	employment		0.9411764705882353
update	1.8333333333333304	Y	1.6923076923076896	news		0.9230769230769231
salvage	7.6	Y	7.093333333333333	rescue		0.9333333333333333
time	2.2	Y	2.030769230769231	while		0.9230769230769231
clip	3.4		3.090909090909091	punch		0.9090909090909091
command	1.6666666666699999	Y	1.5555555555586666	military_unit		0.9333333333333333
